iter	Logloss
0	0.5411305769
1	0.4175918772
2	0.3262389697
3	0.2713571907
4	0.2170562593
5	0.1799904344
6	0.1487053021
7	0.123907416
8	0.1033808937
9	0.08955014585
10	0.07811473195
11	0.06971397323
12	0.06237210365
13	0.05683092271
14	0.05241898911
15	0.04870546086
16	0.04639280662
17	0.04386336453
18	0.04188530124
19	0.04015141832
20	0.03911796822
21	0.03795315859
22	0.03697991618
23	0.03592881835
24	0.03486888793
25	0.03421102072
26	0.03386677935
27	0.03356448799
28	0.03301977324
29	0.03261885128
30	0.03226199953
31	0.03196116979
32	0.03172891436
33	0.03138396986
34	0.03104096941
35	0.03076841922
36	0.03047982647
37	0.03023610068
38	0.02992186793
39	0.0296564211
40	0.02950080809
41	0.02928246255
42	0.02908483407
43	0.02881465831
44	0.02866293063
45	0.02856018073
46	0.02842580661
47	0.02819377964
48	0.02799764341
49	0.02784323816
50	0.02766608718
51	0.02750361529
52	0.02728124444
53	0.02716544349
54	0.02695028679
55	0.02674543798
56	0.02662089018
57	0.02648728098
58	0.02630598715
59	0.02622045718
60	0.02621303605
61	0.02605790664
62	0.02593938782
63	0.0258360318
64	0.02574989698
65	0.02558144059
66	0.02548858056
67	0.02535289485
68	0.0252562165
69	0.02515381938
70	0.0250607537
71	0.02488318586
72	0.02472566677
73	0.0245880969
74	0.02449570278
75	0.02437577277
76	0.02427701665
77	0.02415228745
78	0.02409587277
79	0.0240045918
80	0.02393890243
81	0.02386479893
82	0.02373143792
83	0.02367657012
84	0.0236141744
85	0.02354364958
86	0.02348980593
87	0.02344552558
88	0.02339575683
89	0.02331220538
90	0.02323691407
91	0.0231576232
92	0.02306803266
93	0.02301037825
94	0.0229554584
95	0.02291536389
96	0.02284972759
97	0.0227858064
98	0.02273762574
99	0.0226540072
100	0.02254002078
101	0.02249020712
102	0.02243836057
103	0.02241070413
104	0.02230672152
105	0.02225372813
106	0.0222034482
107	0.022163935
108	0.0220937046
109	0.02202294689
110	0.02190093527
111	0.02183857251
112	0.02181449997
113	0.02177967941
114	0.02170651383
115	0.02166075624
116	0.02160534611
117	0.0214957672
118	0.0214384414
119	0.02135716465
120	0.02128317565
121	0.02119984222
122	0.0211530276
123	0.02108863433
124	0.02103848131
125	0.02097890199
126	0.02094309658
127	0.0208914325
128	0.02085316238
129	0.02076280472
130	0.0207048731
131	0.02061941408
132	0.02058824728
133	0.02056574381
134	0.0204929454
135	0.02047391732
136	0.02043063294
137	0.02039572352
138	0.02034929029
139	0.02028853573
140	0.0202248733
141	0.02017569899
142	0.02013757337
143	0.02009535318
144	0.01999799237
145	0.01995663412
146	0.0199377757
147	0.01990476202
148	0.01986262605
149	0.01980175083
150	0.01974975791
151	0.01969616797
152	0.01966650264
153	0.01961608272
154	0.01954130846
155	0.01950359115
156	0.01949050991
157	0.01940745765
158	0.01935066964
159	0.01933560104
160	0.01930639211
161	0.01924138354
162	0.01922332378
163	0.01918922498
164	0.01915531641
165	0.01909886619
166	0.01907253452
167	0.01901489972
168	0.0189812323
169	0.01893150166
170	0.01890704487
171	0.01886957155
172	0.01883144489
173	0.0188043324
174	0.01875732184
175	0.01873412243
176	0.018693064
177	0.01868119627
178	0.01864427672
179	0.01862170044
180	0.01858187207
181	0.01857525511
182	0.01848749082
183	0.01844165061
184	0.01839941525
185	0.01834727593
186	0.01828957686
187	0.01823896967
188	0.01818018718
189	0.01816187873
190	0.01813524482
191	0.01810301705
192	0.018067272
193	0.0180432813
194	0.01802272158
195	0.01799443467
196	0.01795017031
197	0.01792190957
198	0.01787372246
199	0.01781271836
200	0.01780347062
201	0.01776818811
202	0.01772350816
203	0.01766641095
204	0.01762568867
205	0.01759679359
206	0.01754810064
207	0.01752316689
208	0.01749109295
209	0.01746283227
210	0.01742469354
211	0.01739203406
212	0.01732728119
213	0.01728021184
214	0.01725485506
215	0.0172272526
216	0.0171775823
217	0.01713311358
218	0.01710279152
219	0.01706796351
220	0.01703547575
221	0.01701907901
222	0.01698244385
223	0.01694439128
224	0.01691445016
225	0.0168523445
226	0.01682413593
227	0.01678355994
228	0.01676069018
229	0.01673022266
230	0.01670813029
231	0.01667611903
232	0.01663731177
233	0.01662071369
234	0.01658088754
235	0.01656247048
236	0.01651865154
237	0.01649546702
238	0.01645256638
239	0.01641316684
240	0.01637342118
241	0.01634067907
242	0.0162951037
243	0.01626507175
244	0.0162145983
245	0.01620230887
246	0.01618938427
247	0.01616974798
248	0.01614783296
249	0.01612288981
250	0.01607841519
251	0.01605845047
252	0.01603151606
253	0.01600466829
254	0.01597723224
255	0.01593506594
256	0.01588912718
257	0.01586330178
258	0.01582231982
259	0.0157979789
260	0.0157696484
261	0.01574516762
262	0.01570070751
263	0.01568408325
264	0.01565424991
265	0.01562856988
266	0.01562856067
267	0.01559878654
268	0.0155608819
269	0.01554133631
270	0.01551894371
271	0.01548313961
272	0.01544895856
273	0.01542834021
274	0.01540356622
275	0.01539184327
276	0.01539184794
277	0.01537310428
278	0.01534098512
279	0.01528781952
280	0.01525862804
281	0.01525861766
282	0.01524145562
283	0.0152414584
284	0.01524143308
285	0.01524141293
286	0.01521280707
287	0.01518770859
288	0.01517059342
289	0.0151576258
290	0.01513861642
291	0.01513210157
292	0.01511260103
293	0.01506864089
294	0.01505675877
295	0.01505673956
296	0.0150353356
297	0.01503532399
298	0.015017838
299	0.01499807324
300	0.01499808782
301	0.01498957142
302	0.01498957142
303	0.01495615791
304	0.01494174474
305	0.01491219909
306	0.01489757449
307	0.01489336283
308	0.01487673163
309	0.01486220192
310	0.01484575633
311	0.0148350002
312	0.01481159278
313	0.01477664987
314	0.01475462466
315	0.01473966861
316	0.01471140208
317	0.01468747228
318	0.01467528936
319	0.01465904747
320	0.01464388011
321	0.0146316891
322	0.01461839802
323	0.01460239296
324	0.01458041986
325	0.01456468281
326	0.01453802638
327	0.01452850552
328	0.01451332981
329	0.01450007364
330	0.01448358726
331	0.01446038628
332	0.01446035112
333	0.01446035947
334	0.01446035316
335	0.0144603471
336	0.01446032484
337	0.01446032708
338	0.01446030123
339	0.01446030474
340	0.01446029405
341	0.01446028338
342	0.01446028576
343	0.01446027268
344	0.01446027106
345	0.01446026257
346	0.01446025426
347	0.0144602461
348	0.01446023616
349	0.01446023141
350	0.01446021361
351	0.01446021394
352	0.01446022306
353	0.01446020476
354	0.01446019482
355	0.0144601719
356	0.01446017292
357	0.0144601525
358	0.0144601397
359	0.01446014409
360	0.01446013831
361	0.01446012864
362	0.01446010335
363	0.0144600809
364	0.01446007271
365	0.01446007902
366	0.01446006627
367	0.01446007175
368	0.01446003994
369	0.01446003052
370	0.01446002568
371	0.01446001247
372	0.01446002992
373	0.0144600225
374	0.01446000678
375	0.01445999863
376	0.01445997801
377	0.01445997547
378	0.01445997256
379	0.01445993288
380	0.01445993065
381	0.01445991975
382	0.01445993274
383	0.01445990824
384	0.01445990016
385	0.01445987215
386	0.01445985588
387	0.01445984874
388	0.01445983309
389	0.01445985027
390	0.01445980398
391	0.01445981992
392	0.01445981992
393	0.01445981992
394	0.01445981992
395	0.01445981799
396	0.01445981752
397	0.01445979761
398	0.014459815
399	0.01445979998
